TIMER, TGTPOS, TGTVEL, TGTFF, CURPOS, CURVEL, CURCUR
3400, 2, 0, 0, 76, -164,  17
3450, -68, 0, 0, 54, 66,  -11
3500, -99, 0, 0, -28, -315,  -15
3550, -72, 0, 0, -124, 14,  95
3600, -2, 0, 0, -81, 124,  -13
3650, 68, 0, 0, -56, -16,  21
3701, 99, 0, 0, 20, 261,  23
3751, 71, 0, 0, 130, 25,  -119
3801, 1, 0, 0, 80, -164,  4
3851, -69, 0, 0, 50, 40,  -12
3901, -99, 0, 0, -27, -286,  -23
3951, -71, 0, 0, -123, -18,  87
4002, 0, 0, 0, -87, 121,  3
4052, 70, 0, 0, -50, 8,  18
4102, 99, 0, 0, 23, 223,  19
4152, 70, 0, 0, 129, 51,  -113
4202, 0, 0, 0, 82, -161,  0
4252, -70, 0, 0, 47, 37,  -15
4302, -99, 0, 0, -27, -295,  -19
4352, -70, 0, 0, -124, -27,  90
4402, 0, 0, 0, -86, 118,  3
4451, 69, 0, 0, -47, -7,  13
4501, 99, 0, 0, 21, 226,  22
4552, 71, 0, 0, 128, 78,  -111
4602, 0, 0, 0, 85, -144,  0
4652, -70, 0, 0, 45, 40,  -9
4702, -99, 0, 0, -25, -274,  -21
4751, -72, 0, 0, -124, -16,  89
4801, -2, 0, 0, -87, 139,  5
4852, 70, 0, 0, -49, -7,  11
4902, 99, 0, 0, 20, 235,  21
4952, 71, 0, 0, 129, 63,  -112
5001, 2, 0, 0, 85, -164,  0
5051, -68, 0, 0, 44, 48,  -6
5101, -99, 0, 0, -19, -260,  -33
5152, -71, 0, 0, -124, -39,  90
5202, 0, 0, 0, -87, 144,  9
5252, 69, 0, 0, -47, 5,  9
5302, 99, 0, 0, 22, 243,  19
5351, 72, 0, 0, 127, 48,  -104
5401, 2, 0, 0, 85, -164,  0
5452, -69, 0, 0, 47, 31,  -13
5502, -99, 0, 0, -23, -251,  -25
5552, -71, 0, 0, -124, -18,  86
5601, -2, 0, 0, -87, 115,  5
5651, 68, 0, 0, -49, 16,  10
5701, 99, 0, 0, 20, 226,  24
5752, 71, 0, 0, 126, 66,  -106
5802, 1, 0, 0, 85, -161,  -1
5852, -69, 0, 0, 46, 28,  -16
5902, -99, 0, 0, -24, -271,  -24
5952, -71, 0, 0, -123, -30,  87
6003, 0, 0, 0, -88, 124,  5
6053, 70, 0, 0, -48, 14,  13
6103, 99, 0, 0, 24, 232,  9
6153, 70, 0, 0, 126, 60,  -102
6202, 1, 0, 0, 84, -149,  1
6252, -69, 0, 0, 46, 22,  -16
6303, -99, 0, 0, -23, -283,  -27
6353, -70, 0, 0, -124, -18,  92
6403, 0, 0, 0, -86, 130,  1
6453, 70, 0, 0, -48, -13,  12
6502, 99, 0, 0, 23, 246,  20
6552, 72, 0, 0, 127, 43,  -105
6603, 0, 0, 0, 87, -155,  -5
6653, -70, 0, 0, 44, 43,  -8
6703, -99, 0, 0, -25, -260,  -22
6753, -71, 0, 0, -123, -33,  87
6803, 0, 0, 0, -87, 130,  4
6853, 70, 0, 0, -48, 2,  13
6904, 99, 0, 0, 24, 232,  10
6954, 70, 0, 0, 126, 46,  -102
7004, 0, 0, 0, 83, -146,  2
7054, -71, 0, 0, 48, 43,  -16
7104, -99, 0, 0, -29, -263,  -12
7155, -69, 0, 0, -124, -42,  87
7205, 2, 0, 0, -87, 115,  5
7255, 72, 0, 0, -45, 22,  10
7305, 99, 0, 0, 27, 217,  4
7355, 69, 0, 0, 126, 40,  -101
7405, -1, 0, 0, 84, -155,  -1
7456, -73, 0, 0, 45, 25,  -13
