TIMER, TGTPOS, TGTVEL, TGTFF, CURPOS, CURVEL, CURCUR
2751, 92, 0, 0, 24, 101,  -21
2800, 3, 0, 0, 110, 130,  -69
2850, -91, 0, 0, 95, -167,  -175
2900, -73, 0, 0, -77, -312,  65
2950, 34, 0, 0, -136, 156,  175
2999, 99, 0, 0, -18, 168,  -8
3049, 43, 0, 0, 86, 130,  -42
3099, -66, 0, 0, 120, -33,  -172
3150, -93, 0, 0, -11, -303,  -9
3200, -3, 0, 0, -135, -16,  142
3250, 90, 0, 0, -72, 223,  37
3300, 73, 0, 0, 57, 208,  -28
3350, -34, 0, 0, 133, -1,  -170
3401, -99, 0, 0, 43, -260,  -58
3451, -39, 0, 0, -121, -155,  141
3501, 69, 0, 0, -104, 162,  149
3551, 93, 0, 0, 8, 200,  3
3601, 1, 0, 0, 132, 142,  -134
3651, -91, 0, 0, 93, -225,  -161
3702, -70, 0, 0, -93, -225,  125
3752, 38, 0, 0, -119, 144,  138
3802, 99, 0, 0, -28, 136,  15
3852, 38, 0, 0, 97, 261,  -73
3901, -69, 0, 0, 126, -106,  -218
3951, -93, 0, 0, -25, -356,  9
4002, 0, 0, 0, -134, 8,  142
4052, 92, 0, 0, -68, 182,  25
4102, 70, 0, 0, 59, 223,  -31
4152, -38, 0, 0, 135, 5,  -183
4202, -99, 0, 0, 42, -303,  -63
4252, -38, 0, 0, -130, -129,  143
4302, 70, 0, 0, -96, 194,  109
4352, 92, 0, 0, 12, 153,  -2
4402, 0, 0, 0, 123, 168,  -96
4452, -92, 0, 0, 99, -239,  -189
4502, -71, 0, 0, -97, -298,  154
4552, 37, 0, 0, -122, 203,  161
4602, 99, 0, 0, -22, 130,  2
4652, 39, 0, 0, 88, 217,  -47
4702, -70, 0, 0, 128, -77,  -221
4752, -92, 0, 0, -22, -388,  3
4801, -3, 0, 0, -138, 22,  151
4852, 91, 0, 0, -63, 232,  14
4902, 71, 0, 0, 55, 191,  -20
4952, -37, 0, 0, 131, 43,  -153
5002, -99, 0, 0, 45, -318,  -72
5052, -39, 0, 0, -129, -146,  144
5102, 69, 0, 0, -100, 205,  143
5153, 92, 0, 0, 14, 153,  -6
5203, 0, 0, 0, 121, 162,  -95
5253, -92, 0, 0, 92, -234,  -166
5303, -70, 0, 0, -89, -315,  102
5353, 38, 0, 0, -127, 144,  154
5403, 99, 0, 0, -21, 176,  0
5453, 37, 0, 0, 95, 205,  -69
5503, -71, 0, 0, 119, -88,  -183
5553, -92, 0, 0, -25, -303,  3
5603, 0, 0, 0, -133, 5,  135
5653, 92, 0, 0, -69, 200,  37
5702, 72, 0, 0, 60, 211,  -32
5752, -36, 0, 0, 135, 40,  -180
5802, -99, 0, 0, 49, -309,  -84
5852, -40, 0, 0, -132, -138,  149
5902, 69, 0, 0, -97, 211,  112
5952, 93, 0, 0, 12, 139,  -5
6003, 0, 0, 0, 120, 179,  -89
6053, -92, 0, 0, 99, -216,  -192
6103, -70, 0, 0, -95, -298,  133
6153, 38, 0, 0, -124, 162,  160
6203, 99, 0, 0, -20, 139,  -1
6253, 38, 0, 0, 91, 220,  -55
6304, -72, 0, 0, 122, -94,  -192
6354, -91, 0, 0, -24, -321,  6
6404, 1, 0, 0, -137, -10,  144
6454, 93, 0, 0, -66, 208,  24
6504, 69, 0, 0, 65, 188,  -39
6554, -39, 0, 0, 129, -4,  -155
6605, -99, 0, 0, 34, -289,  -36
6655, -34, 0, 0, -120, -155,  130
6705, 73, 0, 0, -106, 182,  171
6755, 90, 0, 0, 18, 203,  4
6804, -1, 0, 0, 133, 92,  -142
6854, -92, 0, 0, 85, -271,  -137
6904, -69, 0, 0, -91, -242,  104
6954, 39, 0, 0, -121, 118,  143
7004, 99, 0, 0, -28, 159,  15
7054, 37, 0, 0, 99, 226,  -71
7104, -71, 0, 0, 125, -123,  -210
7155, -91, 0, 0, -30, -344,  19
7204, 0, 0, 0, -132, 22,  136
7254, 92, 0, 0, -66, 203,  26
7304, 70, 0, 0, 57, 229,  -22
7354, -38, 0, 0, 138, 25,  -193
7404, -99, 0, 0, 41, -330,  -58
7455, -35, 0, 0, -130, -114,  144
